"Duration" "Amount" "InstallmentRatePercentage" "ResidenceDuration" "Age"
"102" 36 2323 4 4 24
"103" 6 932 3 2 24
"104" 9 1919 4 3 35
"105" 12 2445 2 4 26
"106" 24 11938 2 3 39
"107" 18 6458 2 4 39
"108" 12 6078 2 2 32
"109" 24 7721 1 2 30
"110" 14 1410 1 2 35
"111" 6 1449 1 2 31
"112" 15 392 4 4 23
"113" 18 6260 3 3 28
"114" 36 7855 4 2 25
"115" 12 1680 3 1 35
"116" 48 3578 4 1 47
"117" 42 7174 4 3 30
"118" 10 2132 2 3 27
"119" 33 4281 1 4 23
"120" 12 2366 3 3 36
"121" 21 1835 3 2 25
"122" 24 3868 4 2 41
"123" 12 1768 3 2 24
"124" 10 781 4 4 63
"125" 18 1924 4 3 27
"126" 12 2121 4 2 30
"127" 12 701 4 2 40
"128" 12 639 4 2 30
"129" 12 1860 4 2 34
"130" 12 3499 3 2 29
"131" 48 8487 1 2 24
"132" 36 6887 4 3 29
"133" 15 2708 2 3 27
"134" 18 1984 4 4 47
"135" 60 10144 2 4 21
"136" 12 1240 4 2 38
"137" 27 8613 2 2 27
"138" 12 766 4 3 66
"139" 15 2728 4 2 35
"140" 12 1881 2 2 44
"141" 6 709 2 2 27
"142" 36 4795 4 1 30
"143" 27 3416 3 2 27
"144" 18 2462 2 2 22
"145" 21 2288 4 4 23
"146" 48 3566 4 2 30
"147" 6 860 1 4 39
"148" 12 682 4 3 51
"149" 36 5371 3 2 28
"150" 18 1582 4 4 46
"151" 6 1346 2 4 42
"152" 10 1924 1 4 38
"153" 36 5848 4 1 24
"154" 24 7758 2 4 29
"155" 24 6967 4 4 36
"156" 12 1282 2 4 20
"157" 9 1288 3 4 48
"158" 12 339 4 1 45
"159" 24 3512 2 3 38
"160" 6 1898 1 2 34
"161" 24 2872 3 4 36
"162" 18 1055 4 1 30
"163" 15 1262 4 3 36
"164" 10 7308 2 4 70
"165" 36 909 4 4 36
"166" 6 2978 1 2 32
"167" 18 1131 4 2 33
"168" 11 1577 4 1 20
"169" 24 3972 2 4 25
"170" 24 1935 4 4 31
"171" 15 950 4 3 33
"172" 12 763 4 1 26
"173" 24 2064 3 2 34
"174" 8 1414 4 2 33
"175" 21 3414 2 1 26
"176" 30 7485 4 1 53
"177" 12 2577 2 1 42
"178" 6 338 4 4 52
"179" 12 1963 4 2 31
"180" 21 571 4 4 65
"181" 36 9572 1 1 28
"182" 36 4455 2 2 30
"183" 21 1647 4 2 40
"184" 24 3777 4 4 50
"185" 18 884 4 4 36
"186" 15 1360 4 2 31
"187" 9 5129 2 4 74
"188" 16 1175 2 3 68
"189" 12 674 4 1 20
"190" 18 3244 1 4 33
"191" 24 4591 2 3 54
"192" 48 3844 4 4 34
"193" 27 3915 4 2 36
"194" 6 2108 2 2 29
"195" 45 3031 4 4 21
"196" 9 1501 2 3 34
"197" 6 1382 1 1 28
"198" 12 951 4 4 27
"199" 24 2760 4 4 36
"200" 18 4297 4 3 40
"201" 9 936 4 2 52
"202" 12 1168 4 3 27
"203" 27 5117 3 4 26
"204" 12 902 4 4 21
"205" 12 1495 4 1 38
"206" 30 10623 3 4 38
"207" 12 1935 4 4 43
"208" 12 1424 4 3 26
"209" 24 6568 2 2 21
"210" 12 1413 3 2 55
"211" 9 3074 1 2 33
"212" 36 3835 2 4 45
"213" 27 5293 2 4 50
"214" 30 1908 4 4 66
"215" 36 3342 4 2 51
"216" 6 932 1 3 39
"217" 18 3104 3 1 31
"218" 36 3913 2 2 23
"219" 24 3021 2 2 24
"220" 10 1364 2 4 64
"221" 12 625 4 1 26
"222" 12 1200 4 4 23
"223" 12 707 4 2 30
"224" 24 2978 4 4 32
"225" 15 4657 3 2 30
"226" 36 2613 4 2 27
"227" 48 10961 1 2 27
"228" 12 7865 4 4 53
"229" 9 1478 4 2 22
"230" 24 3149 4 1 22
"231" 36 4210 4 2 26
"232" 9 2507 2 4 51
"233" 12 2141 3 1 35
"234" 18 866 4 2 25
"235" 4 1544 2 1 42
"236" 24 1823 4 2 30
"237" 6 14555 1 2 23
"238" 21 2767 4 2 61
"239" 12 1291 4 2 35
"240" 30 2522 1 3 39
"241" 24 915 4 2 29
"242" 6 1595 3 2 51
"243" 48 4605 3 4 24
"244" 12 1185 3 2 27
"245" 12 3447 4 3 35
"246" 24 1258 4 1 25
"247" 12 717 4 4 52
"248" 6 1204 4 1 35
"249" 24 1925 2 2 26
"250" 18 433 3 4 22
"251" 6 666 3 4 39
"252" 12 2251 1 2 46
"253" 30 2150 4 2 24
"254" 24 4151 2 3 35
"255" 9 2030 2 1 24
"256" 60 7418 1 1 27
"257" 24 2684 4 2 35
"258" 12 2149 4 1 29
"259" 15 3812 1 4 23
"260" 11 1154 4 4 57
"261" 12 1657 2 2 27
"262" 24 1603 4 4 55
"263" 18 5302 2 4 36
"264" 12 2748 2 4 57
"265" 10 1231 3 4 32
"266" 15 802 4 3 37
"267" 36 6304 4 4 36
"268" 24 1533 4 3 38
"269" 14 8978 1 4 45
"270" 24 999 4 2 25
"271" 18 2662 4 3 32
"272" 12 1402 3 4 37
"273" 48 12169 4 4 36
"274" 48 3060 4 4 28
"275" 30 11998 1 1 34
"276" 9 2697 1 2 32
"277" 18 2404 2 2 26
"278" 12 1262 2 4 49
"279" 6 4611 1 4 32
"280" 24 1901 4 4 29
"281" 15 3368 3 4 23
"282" 12 1574 4 2 50
"283" 18 1445 4 4 49
"284" 15 1520 4 4 63
"285" 24 3878 4 2 37
"286" 47 10722 1 1 35
"287" 48 4788 4 3 26
"288" 48 7582 2 4 31
"289" 12 1092 4 4 49
"290" 24 1024 4 4 48
"291" 12 1076 2 2 26
"292" 36 9398 1 4 28
"293" 24 6419 2 4 44
"294" 42 4796 4 4 56
"295" 48 7629 4 2 46
"296" 48 9960 1 2 26
"297" 12 4675 1 4 20
"298" 10 1287 4 2 45
"299" 18 2515 3 4 43
"300" 21 2745 3 2 32
"301" 6 672 1 4 54
"302" 36 3804 4 1 42
"303" 24 1344 4 2 37
"304" 10 1038 4 3 49
"305" 48 10127 2 2 44
"306" 6 1543 4 2 33
"307" 30 4811 2 4 24
"308" 12 727 4 3 33
"309" 8 1237 3 4 24
"310" 9 276 4 4 22
"311" 48 5381 3 4 40
"312" 24 5511 4 1 25
"313" 24 3749 2 4 26
"314" 12 685 2 3 25
"315" 4 1494 1 2 29
"316" 36 2746 4 4 31
"317" 12 708 2 3 38
"318" 24 4351 1 4 48
"319" 12 701 4 2 32
"320" 15 3643 1 4 27
"321" 30 4249 4 2 28
"322" 24 1938 4 3 32
"323" 24 2910 2 1 34
"324" 18 2659 4 2 28
"325" 18 1028 4 3 36
"326" 8 3398 1 4 39
"327" 12 5801 2 4 49
"328" 24 1525 4 3 34
"329" 36 4473 4 2 31
"330" 6 1068 4 4 28
"331" 24 6615 2 4 75
"332" 18 1864 4 2 30
"333" 60 7408 4 2 24
"334" 48 11590 2 4 24
"335" 24 4110 3 4 23
"336" 6 3384 1 4 44
"337" 13 2101 2 4 23
"338" 15 1275 4 2 24
"339" 24 4169 4 4 28
"340" 10 1521 4 2 31
"341" 24 5743 2 4 24
"342" 21 3599 1 4 26
"343" 18 3213 1 3 25
"344" 18 4439 1 1 33
"345" 10 3949 1 1 37
"346" 15 1459 4 2 43
"347" 13 882 4 4 23
"348" 24 3758 1 4 23
"349" 6 1743 1 2 34
"350" 9 1136 4 3 32
"351" 9 1236 1 4 23
"352" 9 959 1 2 29
"353" 18 3229 2 4 38
"354" 12 6199 4 2 28
"355" 10 727 4 4 46
"356" 24 1246 4 2 23
"357" 12 2331 1 4 49
"358" 36 4463 4 2 26
"359" 12 776 4 2 28
"360" 30 2406 4 4 23
"361" 18 1239 4 4 61
"362" 12 3399 2 3 37
"363" 12 2247 2 2 36
"364" 6 1766 1 2 21
"365" 18 2473 4 1 25
"366" 12 1542 2 4 36
"367" 18 3850 3 1 27
"368" 18 3650 1 4 22
"369" 36 3446 4 2 42
"370" 18 3001 2 4 40
"371" 36 3079 4 4 36
"372" 18 6070 3 4 33
"373" 10 2146 1 3 23
"374" 60 13756 2 4 63
"375" 60 14782 3 4 60
"376" 48 7685 2 4 37
"377" 18 2320 2 3 34
"378" 7 846 3 4 36
"379" 36 14318 4 2 57
"380" 6 362 4 4 52
"381" 20 2212 4 4 39
"382" 18 12976 3 4 38
"383" 22 1283 4 4 25
"384" 12 1330 4 1 26
"385" 30 4272 2 2 26
"386" 18 2238 2 1 25
"387" 18 1126 4 2 21
"388" 18 7374 4 4 40
"389" 15 2326 2 4 27
"390" 9 1449 3 2 27
"391" 18 1820 2 2 30
"392" 12 983 1 4 19
"393" 36 3249 2 4 39
"394" 6 1957 1 4 31
"395" 9 2406 2 3 31
"396" 39 11760 2 3 32
"397" 12 2578 3 4 55
"398" 36 2348 3 2 46
"399" 12 1223 1 1 46
"400" 24 1516 4 1 43
"401" 18 1473 3 4 39
"402" 18 1887 4 4 28
"403" 24 8648 2 2 27
"404" 14 802 4 2 27
"405" 18 2899 4 4 43
"406" 24 2039 1 1 22
"407" 24 2197 4 4 43
"408" 15 1053 4 2 27
"409" 24 3235 3 2 26
"410" 12 939 4 2 28
"411" 24 1967 4 4 20
"412" 33 7253 3 2 35
"413" 12 2292 4 2 42
"414" 10 1597 3 2 40
"415" 24 1381 4 2 35
"416" 36 5842 2 2 35
"417" 12 2579 4 1 33
"418" 18 8471 1 2 23
"419" 21 2782 1 2 31
"420" 18 1042 4 2 33
"421" 15 3186 2 3 20
"422" 12 2028 4 2 30
"423" 12 958 2 3 47
"424" 21 1591 4 3 34
"425" 12 2762 1 2 25
"426" 18 2779 1 3 21
"427" 28 2743 4 2 29
"428" 18 1149 4 3 46
"429" 9 1313 1 4 20
"430" 18 1190 2 4 55
"431" 5 3448 1 4 74
"432" 24 11328 2 3 29
"433" 6 1872 4 4 36
"434" 24 2058 4 2 33
"435" 9 2136 3 2 25
"436" 12 1484 2 1 25
"437" 6 660 2 4 23
"438" 24 1287 4 4 37
"439" 42 3394 4 4 65
"440" 12 609 4 1 26
"441" 12 1884 4 4 39
"442" 12 1620 2 3 30
"443" 20 2629 2 3 29
"444" 12 719 4 4 41
"445" 48 5096 2 3 30
"446" 9 1244 4 4 41
"447" 36 1842 4 4 34
"448" 7 2576 2 2 35
"449" 12 1424 3 4 55
"450" 15 1512 3 3 61
"451" 36 11054 4 2 30
"452" 6 518 3 1 29
"453" 12 2759 2 4 34
"454" 24 2670 4 4 35
"455" 24 4817 2 3 31
"456" 24 2679 4 1 29
"457" 11 3905 2 2 36
"458" 12 3386 3 4 35
"459" 6 343 4 1 27
"460" 18 4594 3 2 32
"461" 36 3620 1 2 37
"462" 15 1721 2 3 36
"463" 12 3017 3 1 34
"464" 12 754 4 4 38
"465" 18 1950 4 1 34
"466" 24 2924 3 4 63
"467" 24 1659 4 2 29
"468" 48 7238 3 3 32
"469" 33 2764 2 2 26
"470" 24 4679 3 3 35
"471" 24 3092 3 2 22
"472" 6 448 4 4 23
"473" 9 654 4 3 28
"474" 6 1238 4 4 36
"475" 18 1245 4 2 33
"476" 18 3114 1 4 26
"477" 39 2569 4 4 24
"478" 24 5152 4 2 25
"479" 12 1037 3 4 39
"480" 15 1478 4 4 44
"481" 12 3573 1 1 23
"482" 24 1201 4 1 26
"483" 30 3622 4 4 57
"484" 15 960 3 2 30
"485" 12 1163 4 4 44
"486" 6 1209 4 4 47
"487" 12 3077 2 4 52
"488" 24 3757 4 4 62
"489" 10 1418 3 2 35
"490" 6 3518 2 3 26
"491" 12 1934 2 2 26
"492" 27 8318 2 4 42
"493" 6 1237 1 1 27
"494" 6 368 4 4 38
"495" 12 2122 3 2 39
"496" 24 2996 2 4 20
"497" 36 9034 4 1 29
"498" 24 1585 4 3 40
"499" 18 1301 4 2 32
"500" 6 1323 2 4 28
"501" 24 3123 4 1 27
"502" 36 5493 2 4 42
"503" 9 1126 2 4 49
"504" 24 1216 4 4 38
"505" 24 1207 4 4 24
"506" 10 1309 4 4 27
"507" 15 2360 2 2 36
"508" 15 6850 1 2 34
"509" 24 1413 4 2 28
"510" 39 8588 4 2 45
"511" 12 759 4 2 26
"512" 36 4686 2 2 32
"513" 15 2687 2 4 26
"514" 12 585 4 4 20
"515" 24 2255 4 1 54
"516" 6 609 4 3 37
"517" 6 1361 2 4 40
"518" 36 7127 2 4 23
"519" 6 1203 3 2 43
"520" 6 700 4 4 36
"521" 24 5507 3 4 44
"522" 18 3190 2 2 24
"523" 48 7119 3 4 53
"524" 24 3488 3 4 23
"525" 18 1113 4 4 26
"526" 26 7966 2 3 30
"527" 15 1532 4 3 31
"528" 4 1503 2 1 42
"529" 36 2302 4 4 31
"530" 6 662 3 4 41
"531" 36 2273 3 1 32
"532" 15 2631 2 4 28
"533" 12 1503 4 4 41
"534" 24 1311 4 3 26
"535" 24 3105 4 2 25
"536" 21 2319 2 1 33
"537" 6 1374 4 3 75
"538" 18 3612 3 4 37
"539" 48 7763 4 4 42
"540" 18 3049 1 1 45
"541" 12 1534 1 1 23
"542" 24 2032 4 4 60
"543" 30 6350 4 4 31
"544" 18 2864 2 1 34
"545" 12 1255 4 4 61
"546" 24 1333 4 2 43
"547" 24 2022 4 4 37
"548" 24 1552 3 1 32
"549" 12 626 4 4 24
"550" 48 8858 2 1 35
"551" 12 996 4 4 23
"552" 6 1750 2 4 45
"553" 48 6999 1 1 34
"554" 12 1995 4 1 27
"555" 9 1199 4 4 67
"556" 12 1331 2 1 22
"557" 18 2278 3 3 28
"558" 21 5003 1 4 29
"559" 24 3552 3 4 27
"560" 18 1928 2 2 31
"561" 24 2964 4 4 49
"562" 24 1546 4 4 24
"563" 6 683 2 1 29
"564" 36 12389 1 4 37
"565" 24 4712 4 2 37
"566" 24 1553 3 2 23
"567" 12 1372 2 3 36
"568" 24 2578 2 2 34
"569" 48 3979 4 1 41
"570" 48 6758 3 2 31
"571" 24 3234 4 4 23
"572" 30 5954 3 2 38
"573" 24 5433 2 4 26
"574" 15 806 4 4 22
"575" 9 1082 4 4 27
"576" 15 2788 2 3 24
"577" 12 2930 2 1 27
"578" 24 1927 3 2 33
"579" 36 2820 4 4 27
"580" 24 937 4 3 27
"581" 18 1056 3 3 30
"582" 12 3124 1 3 49
"583" 9 1388 4 2 26
"584" 36 2384 4 1 33
"585" 12 2133 4 4 52
"586" 18 2039 1 4 20
"587" 9 2799 2 2 36
"588" 12 1289 4 1 21
"589" 18 1217 4 3 47
"590" 12 2246 3 3 60
"591" 12 385 4 3 58
"592" 24 1965 4 4 42
"593" 21 1572 4 4 36
"594" 24 2718 3 4 20
"595" 24 1358 4 3 40
"596" 6 931 1 1 32
"597" 24 1442 4 4 23
"598" 24 4241 1 4 36
"599" 18 2775 2 2 31
"600" 24 3863 1 2 32
"601" 7 2329 1 1 45
"602" 9 918 4 1 30
"603" 24 1837 4 4 34
"604" 36 3349 4 2 28
"605" 10 1275 4 2 23
"606" 24 2828 4 4 22
"607" 24 4526 3 2 74
"608" 36 2671 4 4 50
"609" 18 2051 4 1 33
"610" 15 1300 4 4 45
"611" 12 741 4 3 22
"612" 10 1240 1 4 48
"613" 21 3357 4 2 29
"614" 24 3632 1 4 22
"615" 18 1808 4 1 22
"616" 48 12204 2 2 48
"617" 60 9157 2 2 27
"618" 6 3676 1 3 37
"619" 30 3441 2 4 21
"620" 12 640 4 2 49
"621" 21 3652 2 3 27
"622" 18 1530 3 2 32
"623" 48 3914 4 2 38
"624" 12 1858 4 1 22
"625" 18 2600 4 4 65
"626" 15 1979 4 2 35
"627" 6 2116 2 2 41
"628" 9 1437 2 3 29
"629" 42 4042 4 4 36
"630" 9 3832 1 4 64
"631" 24 3660 2 4 28
"632" 18 1553 4 3 44
"633" 15 1444 4 1 23
"634" 9 1980 2 2 19
"635" 24 1355 3 4 25
"636" 12 1393 4 4 47
"637" 24 1376 4 1 28
"638" 60 15653 2 4 21
"639" 12 1493 4 3 34
"640" 42 4370 3 2 26
"641" 18 750 4 1 27
"642" 15 1308 4 4 38
"643" 15 4623 3 2 40
"644" 24 1851 4 2 33
"645" 18 1880 4 1 32
"646" 36 7980 4 4 27
"647" 30 4583 2 2 32
"648" 12 1386 2 2 26
"649" 24 947 4 3 38
"650" 12 684 4 4 40
"651" 48 7476 4 1 50
"652" 12 1922 4 2 37
"653" 24 2303 4 1 45
"654" 36 8086 2 4 42
"655" 24 2346 4 3 35
"656" 14 3973 1 4 22
"657" 12 888 4 4 41
"658" 48 10222 4 3 37
"659" 30 4221 2 1 28
"660" 18 6361 2 1 41
"661" 12 1297 3 4 23
"662" 12 900 4 2 23
"663" 21 2241 4 2 50
"664" 6 1050 4 1 35
"665" 6 1047 2 4 50
"666" 24 6314 4 2 27
"667" 30 3496 4 2 34
"668" 48 3609 1 1 27
"669" 12 4843 3 4 43
"670" 30 3017 4 4 47
"671" 24 4139 3 3 27
"672" 36 5742 2 2 31
"673" 60 10366 2 4 42
"674" 6 2080 1 2 24
"675" 21 2580 4 2 41
"676" 30 4530 4 4 26
"677" 24 5150 4 4 33
"678" 72 5595 2 2 24
"679" 24 2384 4 4 64
"680" 18 1453 3 1 26
"681" 6 1538 1 2 56
"682" 12 2279 4 4 37
"683" 15 1478 4 3 33
"684" 24 5103 3 3 47
"685" 36 9857 1 3 31
"686" 60 6527 4 4 34
"687" 10 1347 4 2 27
"688" 36 2862 4 3 30
"689" 9 2753 3 4 35
"690" 12 3651 1 3 31
"691" 15 975 2 3 25
"692" 15 2631 3 2 25
"693" 24 2896 2 1 29
"694" 6 4716 1 3 44
"695" 24 2284 4 2 28
"696" 6 1236 2 4 50
"697" 12 1103 4 3 29
"698" 12 926 1 2 38
"699" 18 1800 4 2 24
"700" 15 1905 4 4 40
"701" 12 1123 4 4 29
"702" 48 6331 4 4 46
"703" 24 1377 4 2 47
"704" 30 2503 4 2 41
"705" 27 2528 4 1 32
"706" 15 5324 1 4 35
"707" 48 6560 3 2 24
"708" 12 2969 4 3 25
"709" 9 1206 4 4 25
"710" 9 2118 2 2 37
"711" 18 629 4 3 32
"712" 6 1198 4 4 35
"713" 21 2476 4 4 46
"714" 9 1138 4 4 25
"715" 60 14027 4 2 27
"716" 30 7596 1 4 63
"717" 30 3077 3 2 40
"718" 18 1505 4 2 32
"719" 24 3148 3 2 31
"720" 20 6148 3 4 31
"721" 9 1337 4 2 34
"722" 6 433 4 2 24
"723" 12 1228 4 2 24
"724" 9 790 4 3 66
"725" 27 2570 3 3 21
"726" 6 250 2 2 41
"727" 15 1316 2 2 47
"728" 18 1882 4 4 25
"729" 48 6416 4 3 59
"730" 24 1275 2 4 36
"731" 24 6403 1 2 33
"732" 24 1987 2 4 21
"733" 8 760 4 2 44
"734" 24 2603 2 4 28
"735" 4 3380 1 1 37
"736" 36 3990 3 2 29
"737" 24 11560 1 4 23
"738" 18 4380 3 4 35
"739" 6 6761 1 3 45
"740" 30 4280 4 4 26
"741" 24 2325 2 3 32
"742" 10 1048 4 4 23
"743" 21 3160 4 3 41
"744" 24 2483 4 4 22
"745" 39 14179 4 4 30
"746" 13 1797 3 1 28
"747" 15 2511 1 4 23
"748" 12 1274 3 1 37
"749" 21 5248 1 3 26
"750" 15 3029 2 2 33
"751" 6 428 2 1 49
"752" 18 976 1 2 23
"753" 12 841 2 4 23
"754" 30 5771 4 2 25
"755" 12 1555 4 4 55
"756" 24 1285 4 4 32
"757" 6 1299 1 1 74
"758" 15 1271 3 4 39
"759" 24 1393 2 2 31
"760" 12 691 4 3 35
"761" 15 5045 1 4 59
"762" 18 2124 4 4 24
"763" 12 2214 4 3 24
"764" 21 12680 4 4 30
"765" 24 2463 4 3 27
"766" 12 1155 3 3 40
"767" 30 3108 2 4 31
"768" 10 2901 1 4 31
"769" 12 3617 1 4 28
"770" 12 1655 2 4 63
"771" 24 2812 2 4 26
"772" 36 8065 3 2 25
"773" 21 3275 1 4 36
"774" 24 2223 4 4 52
"775" 12 1480 2 4 66
"776" 24 1371 4 4 25
"777" 36 3535 4 4 37
"778" 18 3509 4 1 25
"779" 36 5711 4 2 38
"780" 18 3872 2 4 67
"781" 39 4933 2 2 25
"782" 24 1940 4 4 60
"783" 12 1410 2 2 31
"784" 12 836 4 2 23
"785" 20 6468 1 4 60
"786" 18 1941 4 2 35
"787" 22 2675 3 4 40
"788" 48 2751 4 3 38
"789" 48 6224 4 4 50
"790" 40 5998 4 3 27
"791" 21 1188 2 4 39
"792" 24 6313 3 4 41
"793" 6 1221 1 2 27
"794" 24 2892 3 4 51
"795" 24 3062 4 3 32
"796" 9 2301 2 4 22
"797" 18 7511 1 4 51
"798" 12 1258 2 4 22
"799" 24 717 4 4 54
"800" 9 1549 4 2 35
"801" 24 1597 4 4 54
"802" 18 1795 3 4 48
"803" 20 4272 1 4 24
"804" 12 976 4 4 35
"805" 12 7472 1 2 24
"806" 36 9271 2 1 24
"807" 6 590 3 3 26
"808" 12 930 4 4 65
"809" 42 9283 1 2 55
"810" 15 1778 2 1 26
"811" 8 907 3 2 26
"812" 6 484 3 3 28
"813" 36 9629 4 4 24
"814" 48 3051 3 4 54
"815" 48 3931 4 4 46
"816" 36 7432 2 2 54
"817" 6 1338 1 4 62
"818" 6 1554 1 2 24
"819" 36 15857 2 3 43
"820" 18 1345 4 3 26
"821" 12 1101 3 2 27
"822" 12 3016 3 1 24
"823" 36 2712 2 2 41
"824" 8 731 4 4 47
"825" 18 3780 3 2 35
"826" 21 1602 4 3 30
"827" 18 3966 1 4 33
"828" 18 4165 2 2 36
"829" 36 8335 3 4 47
"830" 48 6681 4 4 38
"831" 24 2375 4 2 44
"832" 18 1216 4 3 23
"833" 45 11816 2 4 29
"834" 24 5084 2 4 42
"835" 15 2327 2 3 25
"836" 12 1082 4 4 48
"837" 12 886 4 2 21
"838" 4 601 1 3 23
"839" 24 2957 4 4 63
"840" 24 2611 4 3 46
"841" 36 5179 4 2 29
"842" 21 2993 3 2 28
"843" 18 1943 4 4 23
"844" 24 1559 4 4 50
"845" 18 3422 4 4 47
"846" 21 3976 2 3 35
"847" 18 6761 2 4 68
"848" 24 1249 4 2 28
"849" 9 1364 3 4 59
"850" 12 709 4 4 57
"851" 20 2235 4 2 33
"852" 24 4042 3 4 43
"853" 15 1471 4 4 35
"854" 18 1442 4 4 32
"855" 36 10875 2 2 45
"856" 24 1474 4 3 33
"857" 10 894 4 3 40
"858" 15 3343 4 2 28
"859" 15 3959 3 2 29
"860" 9 3577 1 2 26
"861" 24 5804 4 2 27
"862" 18 2169 4 2 28
"863" 24 2439 4 4 35
"864" 27 4526 4 2 32
"865" 10 2210 2 2 25
"866" 15 2221 2 4 20
"867" 18 2389 4 1 27
"868" 12 3331 2 4 42
"869" 36 7409 3 2 37
"870" 12 652 4 4 24
"871" 36 7678 2 4 40
"872" 6 1343 1 4 46
"873" 24 1382 4 1 26
"874" 15 874 4 1 24
"875" 12 3590 2 2 29
"876" 11 1322 4 4 40
"877" 18 1940 3 4 36
"878" 36 3595 4 2 28
"879" 9 1422 3 2 27
"880" 30 6742 2 3 36
"881" 24 7814 3 3 38
"882" 24 9277 2 4 48
"883" 30 2181 4 4 36
"884" 18 1098 4 4 65
"885" 24 4057 3 3 43
"886" 12 795 4 4 53
"887" 24 2825 4 3 34
"888" 48 15672 2 2 23
"889" 36 6614 4 4 34
"890" 28 7824 3 4 40
"891" 27 2442 4 4 43
"892" 15 1829 4 4 46
"893" 12 2171 4 4 38
"894" 36 5800 3 4 34
"895" 18 1169 4 3 29
"896" 36 8947 3 2 31
"897" 21 2606 4 4 28
"898" 12 1592 3 2 35
"899" 15 2186 1 4 33
"900" 18 4153 2 3 42
"901" 16 2625 2 4 43
"902" 20 3485 2 4 44
"903" 36 10477 2 4 42
"904" 15 1386 4 2 40
"905" 24 1278 4 1 36
"906" 12 1107 2 2 20
"907" 21 3763 2 2 24
"908" 36 3711 2 2 27
"909" 15 3594 1 2 46
"910" 9 3195 1 2 33
"911" 36 4454 4 4 34
"912" 24 4736 2 4 25
"913" 30 2991 2 4 25
"914" 11 2142 1 2 28
"915" 24 3161 4 2 31
"916" 48 18424 1 2 32
"917" 10 2848 1 2 32
"918" 6 14896 1 4 68
"919" 24 2359 1 1 33
"920" 24 3345 4 2 39
"921" 18 1817 4 2 28
"922" 48 12749 4 1 37
"923" 9 1366 3 4 22
"924" 12 2002 3 4 30
"925" 24 6872 2 1 55
"926" 12 697 4 2 46
"927" 18 1049 4 4 21
"928" 48 10297 4 4 39
"929" 30 1867 4 4 58
"930" 12 1344 4 2 43
"931" 24 1747 4 1 24
"932" 9 1670 4 2 22
"933" 9 1224 3 1 30
"934" 12 522 4 4 42
"935" 12 1498 4 1 23
