"","Duration","Amount","InstallmentRatePercentage","ResidenceDuration","Age","NumberExistingCredits","NumberPeopleMaintenance","Telephone","ForeignWorker","Class"
"56",6,783,1,2,26,1,2,1,1,"Good"
"57",12,6468,2,1,52,1,1,0,1,"Bad"
"58",36,9566,2,2,31,2,1,1,1,"Good"
"59",18,1961,3,2,23,1,1,1,1,"Good"
"60",36,6229,4,4,23,2,1,0,1,"Bad"
"61",9,1391,2,1,27,1,1,0,1,"Good"
"62",15,1537,4,4,50,2,1,0,1,"Good"
"63",36,1953,4,4,61,1,1,0,1,"Bad"
"64",48,14421,2,2,25,1,1,0,1,"Bad"
"65",24,3181,4,4,26,1,1,0,1,"Good"
"66",27,5190,4,4,48,4,2,0,1,"Good"
"67",12,2171,2,2,29,1,1,1,1,"Good"
"68",12,1007,4,1,22,1,1,1,1,"Good"
"69",36,1819,4,4,37,1,1,0,1,"Bad"
"70",36,2394,4,4,25,1,1,1,1,"Good"
"71",36,8133,1,2,30,1,1,1,1,"Good"
"72",7,730,4,2,46,2,1,0,1,"Good"
"73",8,1164,3,4,51,2,2,0,1,"Good"
"74",42,5954,2,1,41,2,1,1,1,"Good"
"75",36,1977,4,4,40,1,1,0,1,"Bad"
"76",12,1526,4,4,66,2,1,1,1,"Good"
"77",42,3965,4,3,34,1,1,1,1,"Bad"
"78",11,4771,2,4,51,1,1,1,1,"Good"
"79",54,9436,2,2,39,1,2,1,1,"Good"
"80",30,3832,2,1,22,1,1,1,1,"Good"
"81",24,5943,1,1,44,2,1,0,1,"Bad"
"82",15,1213,4,3,47,1,1,0,1,"Good"
"83",18,1568,3,4,24,1,1,1,1,"Good"
"84",24,1755,4,4,58,1,1,0,1,"Good"
"85",10,2315,3,4,52,1,1,1,1,"Good"
"86",12,1412,4,2,29,2,1,0,1,"Good"
"87",18,1295,4,1,27,2,1,1,1,"Good"
"88",36,12612,1,4,47,1,2,0,1,"Bad"
"89",18,2249,4,3,30,1,2,0,1,"Good"
"90",12,1108,4,3,28,2,1,1,1,"Bad"
"91",12,618,4,4,56,1,1,1,1,"Good"
"92",12,1409,4,3,54,1,1,1,1,"Good"
"93",12,797,4,3,33,1,2,1,1,"Bad"
"94",24,3617,4,4,20,2,1,1,1,"Good"
"95",12,1318,4,4,54,1,1,0,1,"Good"
"96",54,15945,3,4,58,1,1,0,1,"Bad"
"97",12,2012,4,2,61,1,1,1,1,"Good"
"98",18,2622,4,4,34,1,1,1,1,"Good"
"99",36,2337,4,4,36,1,1,1,1,"Good"
"100",20,7057,3,4,36,2,2,0,1,"Good"
"101",24,1469,4,4,41,1,1,1,1,"Good"
"102",36,2323,4,4,24,1,1,1,1,"Good"
"103",6,932,3,2,24,1,1,1,1,"Good"
"104",9,1919,4,3,35,1,1,0,1,"Good"
"105",12,2445,2,4,26,1,1,0,1,"Good"
"106",24,11938,2,3,39,2,2,0,1,"Bad"
"107",18,6458,2,4,39,2,2,0,1,"Bad"
"108",12,6078,2,2,32,1,1,1,1,"Good"
"109",24,7721,1,2,30,1,1,0,0,"Good"
"110",14,1410,1,2,35,1,1,0,1,"Good"
"111",6,1449,1,2,31,2,2,1,1,"Good"
"112",15,392,4,4,23,1,1,0,1,"Good"
"113",18,6260,3,3,28,1,1,1,1,"Good"
"114",36,7855,4,2,25,2,1,0,1,"Bad"
"115",12,1680,3,1,35,1,1,1,1,"Good"
"116",48,3578,4,1,47,1,1,0,1,"Good"
"117",42,7174,4,3,30,1,1,0,1,"Bad"
"118",10,2132,2,3,27,2,1,1,0,"Good"
"119",33,4281,1,4,23,2,1,1,1,"Bad"
"120",12,2366,3,3,36,1,1,0,1,"Good"
"121",21,1835,3,2,25,2,1,0,1,"Bad"
"122",24,3868,4,2,41,2,1,0,1,"Good"
"123",12,1768,3,2,24,1,1,1,1,"Good"
"124",10,781,4,4,63,2,1,0,1,"Good"
"125",18,1924,4,3,27,1,1,1,1,"Bad"
"126",12,2121,4,2,30,2,1,1,1,"Good"
"127",12,701,4,2,40,1,1,1,1,"Good"
"128",12,639,4,2,30,1,1,1,1,"Bad"
"129",12,1860,4,2,34,2,1,0,1,"Good"
"130",12,3499,3,2,29,2,1,1,1,"Bad"
"131",48,8487,1,2,24,1,1,1,1,"Good"
"132",36,6887,4,3,29,1,1,0,1,"Bad"
"133",15,2708,2,3,27,2,1,1,1,"Good"
"134",18,1984,4,4,47,2,1,1,1,"Good"
"135",60,10144,2,4,21,1,1,0,1,"Good"
"136",12,1240,4,2,38,2,1,0,1,"Good"
"137",27,8613,2,2,27,2,1,1,1,"Good"
"138",12,766,4,3,66,1,1,1,1,"Bad"
"139",15,2728,4,2,35,3,1,0,1,"Good"
"140",12,1881,2,2,44,1,1,0,1,"Good"
"141",6,709,2,2,27,1,1,1,0,"Good"
"142",36,4795,4,1,30,1,1,0,1,"Good"
"143",27,3416,3,2,27,1,1,1,1,"Good"
"144",18,2462,2,2,22,1,1,1,1,"Bad"
"145",21,2288,4,4,23,1,1,0,1,"Good"
"146",48,3566,4,2,30,1,1,1,1,"Good"
"147",6,860,1,4,39,2,1,0,1,"Good"
"148",12,682,4,3,51,2,1,0,1,"Good"
"149",36,5371,3,2,28,2,1,1,1,"Good"
"150",18,1582,4,4,46,2,1,1,1,"Good"
"151",6,1346,2,4,42,1,2,0,1,"Good"
"152",10,1924,1,4,38,1,1,0,0,"Good"
"153",36,5848,4,1,24,1,1,1,1,"Good"
"154",24,7758,2,4,29,1,1,1,1,"Good"
"155",24,6967,4,4,36,1,1,0,1,"Good"
"156",12,1282,2,4,20,1,1,1,1,"Bad"
"157",9,1288,3,4,48,2,2,1,0,"Good"
"158",12,339,4,1,45,1,1,1,1,"Good"
"159",24,3512,2,3,38,2,1,0,1,"Good"
"160",6,1898,1,2,34,2,2,1,1,"Good"
"161",24,2872,3,4,36,1,2,0,1,"Good"
"162",18,1055,4,1,30,2,1,1,1,"Good"
"163",15,1262,4,3,36,2,1,0,1,"Good"
"164",10,7308,2,4,70,1,1,0,1,"Good"
"165",36,909,4,4,36,1,1,1,1,"Good"
"166",6,2978,1,2,32,1,1,0,1,"Good"
"167",18,1131,4,2,33,1,1,1,1,"Bad"
"168",11,1577,4,1,20,1,1,1,1,"Good"
"169",24,3972,2,4,25,1,1,0,1,"Good"
"170",24,1935,4,4,31,2,1,0,1,"Bad"
"171",15,950,4,3,33,2,2,1,1,"Bad"
"172",12,763,4,1,26,1,1,0,1,"Good"
"173",24,2064,3,2,34,1,1,0,1,"Bad"
"174",8,1414,4,2,33,1,1,1,0,"Good"
"175",21,3414,2,1,26,2,1,1,1,"Bad"
"176",30,7485,4,1,53,1,1,0,1,"Bad"
"177",12,2577,2,1,42,1,1,1,1,"Good"
"178",6,338,4,4,52,2,1,1,1,"Good"
"179",12,1963,4,2,31,2,2,0,1,"Good"
"180",21,571,4,4,65,2,1,1,1,"Good"
"181",36,9572,1,1,28,2,1,1,1,"Bad"
"182",36,4455,2,2,30,2,1,0,1,"Bad"
"183",21,1647,4,2,40,2,2,1,1,"Bad"
"184",24,3777,4,4,50,1,1,0,1,"Good"
"185",18,884,4,4,36,1,2,0,1,"Bad"
"186",15,1360,4,2,31,2,1,1,1,"Good"
"187",9,5129,2,4,74,1,2,0,1,"Bad"
"188",16,1175,2,3,68,3,1,0,1,"Good"
"189",12,674,4,1,20,1,1,1,1,"Bad"
"190",18,3244,1,4,33,2,1,0,1,"Good"
"191",24,4591,2,3,54,3,1,0,1,"Bad"
"192",48,3844,4,4,34,1,2,1,1,"Bad"
"193",27,3915,4,2,36,1,2,0,1,"Bad"
"194",6,2108,2,2,29,1,1,1,1,"Good"
"195",45,3031,4,4,21,1,1,1,1,"Bad"
"196",9,1501,2,3,34,2,1,0,1,"Bad"
"197",6,1382,1,1,28,2,1,0,1,"Good"
"198",12,951,4,4,27,4,1,1,1,"Bad"
"199",24,2760,4,4,36,1,1,0,1,"Good"
"200",18,4297,4,3,40,1,1,0,1,"Bad"
"201",9,936,4,2,52,2,1,0,1,"Good"
"202",12,1168,4,3,27,1,1,1,1,"Good"
"203",27,5117,3,4,26,2,1,1,1,"Good"
"204",12,902,4,4,21,1,1,1,1,"Bad"
"205",12,1495,4,1,38,2,2,1,1,"Good"
"206",30,10623,3,4,38,3,2,0,1,"Good"
"207",12,1935,4,4,43,3,1,0,1,"Good"
"208",12,1424,4,3,26,1,1,1,1,"Good"
"209",24,6568,2,2,21,1,1,1,1,"Good"
"210",12,1413,3,2,55,1,1,1,0,"Good"
"211",9,3074,1,2,33,2,2,1,1,"Good"
"212",36,3835,2,4,45,1,1,0,1,"Good"
"213",27,5293,2,4,50,2,1,0,1,"Bad"
"214",30,1908,4,4,66,1,1,0,1,"Bad"
"215",36,3342,4,2,51,1,1,0,1,"Good"
"216",6,932,1,3,39,2,1,1,1,"Good"
"217",18,3104,3,1,31,1,1,0,1,"Good"
"218",36,3913,2,2,23,1,1,0,1,"Good"
"219",24,3021,2,2,24,1,1,1,1,"Good"
"220",10,1364,2,4,64,1,1,0,1,"Good"
"221",12,625,4,1,26,1,1,1,1,"Good"
"222",12,1200,4,4,23,1,1,0,1,"Good"
"223",12,707,4,2,30,2,1,1,1,"Good"
"224",24,2978,4,4,32,2,2,0,1,"Good"
"225",15,4657,3,2,30,1,1,0,1,"Good"
"226",36,2613,4,2,27,2,1,1,1,"Good"
"227",48,10961,1,2,27,2,1,0,1,"Bad"
"228",12,7865,4,4,53,1,1,0,1,"Bad"
"229",9,1478,4,2,22,1,1,1,1,"Bad"
"230",24,3149,4,1,22,1,1,1,1,"Good"
"231",36,4210,4,2,26,1,1,1,1,"Bad"
"232",9,2507,2,4,51,1,1,1,1,"Good"
"233",12,2141,3,1,35,1,1,1,1,"Good"
"234",18,866,4,2,25,1,1,1,1,"Good"
"235",4,1544,2,1,42,3,2,1,1,"Good"
"236",24,1823,4,2,30,1,2,1,1,"Bad"
"237",6,14555,1,2,23,1,1,0,1,"Bad"
"238",21,2767,4,2,61,2,1,1,1,"Bad"
"239",12,1291,4,2,35,2,1,1,1,"Good"
"240",30,2522,1,3,39,1,2,1,1,"Good"
"241",24,915,4,2,29,1,1,1,1,"Bad"
"242",6,1595,3,2,51,1,2,1,1,"Good"
"243",48,4605,3,4,24,2,2,1,1,"Bad"
"244",12,1185,3,2,27,2,1,1,1,"Good"
"245",12,3447,4,3,35,1,2,1,1,"Good"
"246",24,1258,4,1,25,1,1,0,1,"Good"
"247",12,717,4,4,52,3,1,1,1,"Good"
"248",6,1204,4,1,35,1,1,1,0,"Good"
"249",24,1925,2,2,26,1,1,1,1,"Good"
"250",18,433,3,4,22,1,1,1,1,"Bad"
"251",6,666,3,4,39,2,1,0,1,"Good"
"252",12,2251,1,2,46,1,1,1,1,"Good"
"253",30,2150,4,2,24,1,1,1,1,"Bad"
"254",24,4151,2,3,35,2,1,1,1,"Good"
"255",9,2030,2,1,24,1,1,0,1,"Good"
"256",60,7418,1,1,27,1,1,1,1,"Good"
"257",24,2684,4,2,35,2,1,1,1,"Good"
"258",12,2149,4,1,29,1,1,1,1,"Bad"
"259",15,3812,1,4,23,1,1,0,1,"Good"
"260",11,1154,4,4,57,3,1,1,1,"Good"
"261",12,1657,2,2,27,1,1,1,1,"Good"
"262",24,1603,4,4,55,1,1,1,1,"Good"
"263",18,5302,2,4,36,3,1,0,1,"Good"
"264",12,2748,2,4,57,3,1,1,1,"Good"
"265",10,1231,3,4,32,2,2,1,0,"Good"
"266",15,802,4,3,37,1,2,1,1,"Bad"
"267",36,6304,4,4,36,2,1,1,1,"Good"
"268",24,1533,4,3,38,1,1,0,1,"Good"
"269",14,8978,1,4,45,1,1,0,0,"Bad"
"270",24,999,4,2,25,2,1,1,1,"Good"
"271",18,2662,4,3,32,1,1,1,0,"Good"
"272",12,1402,3,4,37,1,1,0,1,"Good"
"273",48,12169,4,4,36,1,1,0,1,"Good"
"274",48,3060,4,4,28,2,1,1,1,"Bad"
"275",30,11998,1,1,34,1,1,0,1,"Bad"
"276",9,2697,1,2,32,1,2,1,1,"Good"
"277",18,2404,2,2,26,2,1,1,1,"Good"
"278",12,1262,2,4,49,1,1,0,1,"Good"
"279",6,4611,1,4,32,1,1,1,1,"Bad"
"280",24,1901,4,4,29,1,1,0,1,"Good"
"281",15,3368,3,4,23,2,1,0,1,"Good"
"282",12,1574,4,2,50,1,1,1,1,"Good"
"283",18,1445,4,4,49,1,1,1,1,"Good"
"284",15,1520,4,4,63,1,1,1,1,"Good"
"285",24,3878,4,2,37,1,1,0,1,"Good"
"286",47,10722,1,1,35,1,1,0,1,"Good"
"287",48,4788,4,3,26,1,2,1,1,"Good"
"288",48,7582,2,4,31,1,1,0,1,"Good"
"289",12,1092,4,4,49,2,1,0,1,"Good"
"290",24,1024,4,4,48,1,1,1,1,"Bad"
"291",12,1076,2,2,26,1,1,0,0,"Good"
"292",36,9398,1,4,28,1,1,0,1,"Bad"
"293",24,6419,2,4,44,2,2,0,1,"Good"
"294",42,4796,4,4,56,1,1,1,1,"Good"
"295",48,7629,4,2,46,2,2,1,1,"Good"
"296",48,9960,1,2,26,1,1,0,1,"Bad"
"297",12,4675,1,4,20,1,1,1,1,"Good"
"298",10,1287,4,2,45,1,1,1,0,"Good"
"299",18,2515,3,4,43,1,1,0,1,"Good"
"300",21,2745,3,2,32,2,1,0,1,"Good"
"301",6,672,1,4,54,1,1,0,1,"Good"
"302",36,3804,4,1,42,1,1,0,1,"Bad"
"303",24,1344,4,2,37,2,2,1,1,"Bad"
"304",10,1038,4,3,49,2,1,0,1,"Good"
"305",48,10127,2,2,44,1,1,1,1,"Bad"
"306",6,1543,4,2,33,1,1,1,1,"Good"
"307",30,4811,2,4,24,1,1,1,1,"Good"
"308",12,727,4,3,33,1,1,0,1,"Bad"
"309",8,1237,3,4,24,1,1,1,1,"Bad"
"310",9,276,4,4,22,1,1,1,1,"Good"
"311",48,5381,3,4,40,1,1,0,1,"Good"
"312",24,5511,4,1,25,1,1,1,1,"Good"
"313",24,3749,2,4,26,1,1,1,1,"Good"
"314",12,685,2,3,25,1,1,1,1,"Bad"
"315",4,1494,1,2,29,1,2,1,0,"Good"
"316",36,2746,4,4,31,1,1,1,1,"Bad"
"317",12,708,2,3,38,1,2,1,1,"Good"
"318",24,4351,1,4,48,1,1,0,1,"Good"
"319",12,701,4,2,32,2,1,1,1,"Good"
"320",15,3643,1,4,27,2,1,1,1,"Good"
"321",30,4249,4,2,28,2,1,1,1,"Bad"
"322",24,1938,4,3,32,1,1,1,1,"Bad"
"323",24,2910,2,1,34,1,1,0,1,"Good"
"324",18,2659,4,2,28,1,1,1,1,"Good"
"325",18,1028,4,3,36,2,1,1,1,"Good"
"326",8,3398,1,4,39,2,1,1,0,"Good"
"327",12,5801,2,4,49,1,1,0,1,"Good"
"328",24,1525,4,3,34,1,2,0,1,"Good"
"329",36,4473,4,2,31,1,1,1,1,"Good"
"330",6,1068,4,4,28,1,2,1,1,"Good"
"331",24,6615,2,4,75,2,1,0,1,"Good"
"332",18,1864,4,2,30,2,1,1,1,"Bad"
"333",60,7408,4,2,24,1,1,1,1,"Bad"
"334",48,11590,2,4,24,2,1,1,1,"Bad"
"335",24,4110,3,4,23,2,2,1,1,"Bad"
"336",6,3384,1,4,44,1,1,0,1,"Bad"
"337",13,2101,2,4,23,1,1,1,1,"Good"
"338",15,1275,4,2,24,1,1,1,1,"Bad"
"339",24,4169,4,4,28,1,1,1,1,"Good"
"340",10,1521,4,2,31,1,1,1,1,"Good"
"341",24,5743,2,4,24,2,1,0,1,"Good"
"342",21,3599,1,4,26,1,1,1,1,"Good"
"343",18,3213,1,3,25,1,1,1,1,"Good"
"344",18,4439,1,1,33,1,1,0,1,"Good"
"345",10,3949,1,1,37,1,2,1,1,"Good"
"346",15,1459,4,2,43,1,1,1,1,"Good"
"347",13,882,4,4,23,2,1,1,1,"Good"
"348",24,3758,1,4,23,1,1,1,1,"Good"
"349",6,1743,1,2,34,2,1,1,1,"Good"
"350",9,1136,4,3,32,2,2,1,1,"Bad"
"351",9,1236,1,4,23,1,1,0,1,"Good"
"352",9,959,1,2,29,1,1,1,0,"Bad"
"353",18,3229,2,4,38,1,1,0,1,"Good"
"354",12,6199,4,2,28,2,1,0,1,"Bad"
"355",10,727,4,4,46,1,1,0,1,"Good"
"356",24,1246,4,2,23,1,1,1,1,"Bad"
"357",12,2331,1,4,49,1,1,0,1,"Good"
"358",36,4463,4,2,26,2,1,0,1,"Bad"
"359",12,776,4,2,28,1,1,1,1,"Good"
"360",30,2406,4,4,23,1,1,1,1,"Bad"
"361",18,1239,4,4,61,1,1,1,1,"Good"
"362",12,3399,2,3,37,1,1,1,1,"Good"
"363",12,2247,2,2,36,2,1,0,1,"Good"
"364",6,1766,1,2,21,1,1,1,1,"Good"
"365",18,2473,4,1,25,1,1,1,1,"Bad"
"366",12,1542,2,4,36,1,1,0,1,"Good"
"367",18,3850,3,1,27,2,1,1,1,"Good"
"368",18,3650,1,4,22,1,1,1,1,"Good"
"369",36,3446,4,2,42,1,2,1,1,"Bad"
"370",18,3001,2,4,40,1,1,1,1,"Good"
"371",36,3079,4,4,36,1,1,1,1,"Good"
"372",18,6070,3,4,33,2,1,0,1,"Good"
"373",10,2146,1,3,23,2,1,1,1,"Good"
"374",60,13756,2,4,63,1,1,0,1,"Good"
"375",60,14782,3,4,60,2,1,0,1,"Bad"
"376",48,7685,2,4,37,1,1,1,1,"Bad"
"377",18,2320,2,3,34,2,1,1,1,"Good"
"378",7,846,3,4,36,1,1,1,1,"Good"
"379",36,14318,4,2,57,1,1,0,1,"Bad"
"380",6,362,4,4,52,2,1,1,1,"Good"
"381",20,2212,4,4,39,1,1,0,1,"Good"
"382",18,12976,3,4,38,1,1,0,1,"Bad"
"383",22,1283,4,4,25,1,1,1,1,"Good"
"384",12,1330,4,1,26,1,1,1,1,"Good"
"385",30,4272,2,2,26,2,1,1,1,"Good"
"386",18,2238,2,1,25,2,1,1,1,"Good"
"387",18,1126,4,2,21,1,1,0,1,"Good"
"388",18,7374,4,4,40,2,1,0,1,"Good"
"389",15,2326,2,4,27,1,1,1,1,"Good"
"390",9,1449,3,2,27,2,1,1,1,"Good"
"391",18,1820,2,2,30,1,1,0,1,"Good"
"392",12,983,1,4,19,1,1,1,1,"Good"
"393",36,3249,2,4,39,1,2,0,1,"Good"
"394",6,1957,1,4,31,1,1,1,1,"Good"
"395",9,2406,2,3,31,1,1,1,1,"Good"
"396",39,11760,2,3,32,1,1,0,1,"Good"
"397",12,2578,3,4,55,1,1,1,1,"Good"
"398",36,2348,3,2,46,2,1,0,1,"Good"
"399",12,1223,1,1,46,2,1,1,1,"Bad"
"400",24,1516,4,1,43,2,1,1,1,"Good"
"401",18,1473,3,4,39,1,1,0,1,"Good"
"402",18,1887,4,4,28,2,1,1,1,"Good"
"403",24,8648,2,2,27,2,1,0,1,"Bad"
"404",14,802,4,2,27,2,1,1,1,"Good"
"405",18,2899,4,4,43,1,2,1,1,"Good"
"406",24,2039,1,1,22,1,1,0,1,"Bad"
"407",24,2197,4,4,43,2,2,0,1,"Good"
"408",15,1053,4,2,27,1,1,1,0,"Good"
"409",24,3235,3,2,26,1,1,0,1,"Good"
"410",12,939,4,2,28,3,1,0,1,"Bad"
"411",24,1967,4,4,20,1,1,0,1,"Good"
"412",33,7253,3,2,35,2,1,0,1,"Good"
"413",12,2292,4,2,42,2,1,0,1,"Bad"
"414",10,1597,3,2,40,1,2,1,0,"Good"
"415",24,1381,4,2,35,1,1,1,1,"Bad"
"416",36,5842,2,2,35,2,2,0,1,"Good"
"417",12,2579,4,1,33,1,2,1,1,"Bad"
"418",18,8471,1,2,23,2,1,0,1,"Good"
"419",21,2782,1,2,31,1,1,1,1,"Good"
"420",18,1042,4,2,33,1,1,1,1,"Bad"
"421",15,3186,2,3,20,1,1,1,1,"Good"
"422",12,2028,4,2,30,1,1,1,1,"Good"
"423",12,958,2,3,47,2,2,1,1,"Good"
"424",21,1591,4,3,34,2,1,1,1,"Good"
"425",12,2762,1,2,25,1,1,0,1,"Bad"
"426",18,2779,1,3,21,1,1,0,1,"Good"
"427",28,2743,4,2,29,2,1,1,1,"Good"
"428",18,1149,4,3,46,2,1,1,1,"Good"
"429",9,1313,1,4,20,1,1,1,1,"Good"
"430",18,1190,2,4,55,3,2,1,1,"Bad"
"431",5,3448,1,4,74,1,1,1,1,"Good"
"432",24,11328,2,3,29,2,1,0,1,"Bad"
"433",6,1872,4,4,36,3,1,0,1,"Good"
"434",24,2058,4,2,33,2,1,0,1,"Good"
"435",9,2136,3,2,25,1,1,1,1,"Good"
"436",12,1484,2,1,25,1,1,0,1,"Bad"
"437",6,660,2,4,23,1,1,1,1,"Good"
"438",24,1287,4,4,37,2,1,0,1,"Good"
"439",42,3394,4,4,65,2,1,1,1,"Good"
"440",12,609,4,1,26,1,1,1,1,"Bad"
"441",12,1884,4,4,39,1,1,0,1,"Good"
"442",12,1620,2,3,30,1,1,1,1,"Good"
"443",20,2629,2,3,29,2,1,0,1,"Good"
"444",12,719,4,4,41,1,2,1,1,"Bad"
"445",48,5096,2,3,30,1,1,0,1,"Bad"
"446",9,1244,4,4,41,2,1,1,1,"Good"
"447",36,1842,4,4,34,1,1,0,1,"Bad"
"448",7,2576,2,2,35,1,1,1,1,"Good"
"449",12,1424,3,4,55,1,1,0,1,"Good"
"450",15,1512,3,3,61,2,1,1,1,"Bad"
"451",36,11054,4,2,30,1,1,0,1,"Good"
"452",6,518,3,1,29,1,1,1,1,"Good"
"453",12,2759,2,4,34,2,1,1,1,"Good"
"454",24,2670,4,4,35,1,1,0,1,"Good"
"455",24,4817,2,3,31,1,1,0,1,"Bad"
"456",24,2679,4,1,29,1,1,0,1,"Good"
"457",11,3905,2,2,36,2,2,1,1,"Good"
"458",12,3386,3,4,35,1,1,0,1,"Bad"
"459",6,343,4,1,27,1,1,1,1,"Good"
"460",18,4594,3,2,32,1,1,0,1,"Good"
"461",36,3620,1,2,37,1,2,1,1,"Good"
"462",15,1721,2,3,36,1,1,1,1,"Good"
"463",12,3017,3,1,34,1,1,1,1,"Good"
"464",12,754,4,4,38,2,1,1,1,"Good"
"465",18,1950,4,1,34,2,1,0,1,"Good"
"466",24,2924,3,4,63,1,2,0,1,"Good"
"467",24,1659,4,2,29,1,1,0,1,"Bad"
"468",48,7238,3,3,32,2,2,1,1,"Good"
"469",33,2764,2,2,26,2,1,0,1,"Good"
"470",24,4679,3,3,35,2,1,0,1,"Good"
"471",24,3092,3,2,22,1,1,0,1,"Bad"
"472",6,448,4,4,23,1,1,1,1,"Bad"
"473",9,654,4,3,28,1,1,1,1,"Bad"
"474",6,1238,4,4,36,1,2,0,1,"Good"
"475",18,1245,4,2,33,1,1,1,1,"Bad"
"476",18,3114,1,4,26,1,1,1,1,"Bad"
"477",39,2569,4,4,24,1,1,1,1,"Good"
"478",24,5152,4,2,25,1,1,1,1,"Good"
"479",12,1037,3,4,39,1,1,1,1,"Good"
"480",15,1478,4,4,44,2,2,0,1,"Good"
"481",12,3573,1,1,23,1,1,1,1,"Good"
"482",24,1201,4,1,26,1,1,1,1,"Good"
"483",30,3622,4,4,57,2,1,0,1,"Good"
"484",15,960,3,2,30,2,1,1,1,"Good"
"485",12,1163,4,4,44,1,1,0,1,"Good"
"486",6,1209,4,4,47,1,1,0,1,"Bad"
"487",12,3077,2,4,52,1,1,0,1,"Good"
"488",24,3757,4,4,62,1,1,0,1,"Good"
"489",10,1418,3,2,35,1,1,1,0,"Good"
"490",6,3518,2,3,26,1,1,1,1,"Good"
"491",12,1934,2,2,26,2,1,1,1,"Good"
"492",27,8318,2,4,42,2,1,0,1,"Bad"
"493",6,1237,1,1,27,2,1,1,1,"Good"
"494",6,368,4,4,38,1,1,1,1,"Good"
"495",12,2122,3,2,39,2,2,1,0,"Good"
"496",24,2996,2,4,20,1,1,1,1,"Bad"
"497",36,9034,4,1,29,1,1,0,1,"Bad"
"498",24,1585,4,3,40,2,1,1,1,"Good"
"499",18,1301,4,2,32,1,1,1,1,"Good"
"500",6,1323,2,4,28,2,2,0,1,"Good"
"501",24,3123,4,1,27,1,1,1,1,"Bad"
"502",36,5493,2,4,42,1,2,1,1,"Good"
"503",9,1126,2,4,49,1,1,1,1,"Good"
"504",24,1216,4,4,38,2,2,1,1,"Bad"
"505",24,1207,4,4,24,1,1,1,1,"Bad"
"506",10,1309,4,4,27,1,1,1,1,"Bad"
"507",15,2360,2,2,36,1,1,0,1,"Good"
"508",15,6850,1,2,34,1,2,0,1,"Bad"
"509",24,1413,4,2,28,1,1,1,1,"Good"
"510",39,8588,4,2,45,1,1,0,1,"Good"
